Reference Year,Facility Name,City,Province,Total Emissions (CO2e)
2022,Caribou North Comp Stn 11-08,Bonnyville,Alberta,30502.64598
2022,Dundas Operations,Dundas,Ontario,434050.0084
2022,Beachville Operation,Ingersoll,Ontario,385144.7055
2022,Carol Project,Labrador city,Newfoundland and Labrador,826032.4576
2022,Carseland Nitrogen Operations,Wheatland County,Alberta,476521.2765
2022,Carseland Power Plant,CARSELAND,Alberta,359112.5664
2022,Orica Carseland,CARSELAND,Alberta,36017.5067
2022,Ingredion Canada Incorporated - London Plant,London,Ontario,131252.3999
2022,Cavalier Energy Centre,Strathmore,Alberta,316711.9074
2022,Cavendish Farms,New Annan,Prince Edward Island,49483.94312
2022,Co-op Refinery Complex,Regina,Saskatchewan,1741157.564
2022,Centrale de Cap-aux-Meules,"Cap-aux-Meules, Ãles-de-la-Madeleine",Quebec,127614.3644
2022,Chimie Parachem s.e.c,MontrÃ©al-Est,Quebec,208733.1798
2022,Christina Lake SAGD Bitumen Battery,Lac La Biche,Alberta,3876432.67
2022,Cimenterie de Saint-Basile,Saint-Basile,Quebec,769752.9687
2022,Cimenterie de Saint-Constant,Saint-Constant,Quebec,727165.8391
2022,Electric Utility - Generation,Medicine Hat,Alberta,583354.2966
2022,Clover Bar Energy Centre,Edmonton,Alberta,339055.1478
2022,Coal Mountain Operations,Sparwood,British Columbia,1970.02973
2022,Cochrane Extraction Plant,Cochrane,Alberta,533707.7172
2022,Cold Lake,GRANDE CENTRE,Alberta,5855287.153
2022,Coleson Cove Generating Station,Saint John,New Brunswick,830539.071
2022,Chatham,Chatham,Ontario,131039.4882
2022,Rio Tinto Fer et Titane inc.- Complexe  de Sorel-Tracy,Sorel-Tracy,Quebec,982930.188
2022,Corner Brook Pulp and Paper,Corner Brook,Newfoundland and Labrador,32796.83975
2022,Cory Cogeneration Station,SASKATOON,Saskatchewan,527017.0484
2022,Crofton Division,Crofton,British Columbia,193274.2534
2022,Delta Plant,Delta,British Columbia,723129.5002
2022,ATCO Gas - Distribution System,Edmonton,Alberta,166261.1369
2022,Kruger Trois-RiviÃ¨res S.E.C.,Trois-RiviÃ¨res,Quebec,82825.417
2022,Usine KÃ©nogami,Saguenay,Quebec,28435.529
2022,ArcelorMittal Dofasco,Hamilton,Ontario,3960611.51
2022,Espanola Mill,Espanola,Ontario,230906.5437
2022,East Calgary Landfill,Calgary,Alberta,39692.7779
2022,East Crossfield Gas Plant 9-14-28-1W5,CROSSFIELD,Alberta,61298.6941
2022,Edmonton Site,Edmonton,Alberta,25274.9282
2022,Edmonton Refinery,Sherwood Park,Alberta,1303316.334
2022,Twin Rivers Pulp Ltd.,Edmundston,New Brunswick,48533.9327
2022,Edson Gas Plant,Edson,Alberta,183530.0439
2022,Ekati Diamond Mine,YELLOWKNIFE,Northwest Territories,164879.8219
2022,Elkem MÃ©tal Chicoutimi,Chicoutimi,Quebec,121140.0712
2022,"Foothills Pipeline, British Columbia System",CRANBROOK,British Columbia,400604.5887
2022,Elkview Operations,Sparwood,British Columbia,490600.2175
2022,Elmworth Gas Plant,Elmworth,Alberta,183328.816
2022,Empress Gas Plant,MEDICINE HAT,Alberta,74489.8734
2022,Empress 6,MEDICINE HAT,Alberta,229693.5848
2022,Exshaw Plant,Exshaw,Alberta,179713.4861
2022,Exshaw Cement Plant,Exshaw,Alberta,1176414.488
2022,Faulkner Plant,Faulkner,Manitoba,106757.3799
2022,Woodstock Plant,Woodstock,Ontario,420218.1792
2022,Fording River Operations,Elkford,British Columbia,805961.018
2022,Fort Nelson Gas Plant,FORT NELSON,British Columbia,386824.3345
2022,Fort Nelson Generating Station,Fort Nelson,British Columbia,195814.472
2022,Fort Saskatchewan,Fort Saskatchewan,Alberta,283482.7095
2022,Fort Saskatchewan Thermal Electric(Cogeneration) Power Plant,Fort Saskatchewan,Alberta,451091.5102
2022,Fort Saskatchewan Nitrogen Operations,Fort Saskatchewan,Alberta,670232.0614
2022,Fort Saskatchewan Storage and Fractionation,Fort Saskatchewan,Alberta,110978.2903
2022,Fort Saskatchewan EOEG,Fort Saskatchewan,Alberta,70966.2577
2022,Gathering,Fort St. John,British Columbia,114459.0449
2022,Genesee Thermal Generating Station,WARBURG,Alberta,8739098.52
2022,"Gerdau Ameristeel Corporation, Whitby Mill",Whitby,Ontario,124036.6593
2022,International Paper Canadian Pulp Holdings ULC,Grande Prairie,Alberta,160234.3213
2022,Greenhills Operations,Elkford,British Columbia,495675.4905
2022,Birla Carbon Canada Ltd.,Hamilton,Ontario,202082.581
2022,Hangingstone SAGD Demonstration Facility,RM of Wood Buffalo,Alberta,206985.3936
2022,Hanlan Robb Gas Plant,EDSON,Alberta,153576.0156
2022,Harmac Pacific Operations,Nanaimo,British Columbia,143490.0289
2022,Harmattan Gas Processing Plant,DIDSBURY,Alberta,370946.2517
2022,Havelock Plant,HAVELOCK,New Brunswick,65240.4293
2022,Hays Gas Plant 11-31-013-14 W4M,,Alberta,37110.628
2022,HBMS Flin Flon Metallurgical Complex,Flin Flon,Manitoba,29730.608
2022,Hendrickson Springs,Stratford,Ontario,11353.78992
2022,Hibernia Platform,Jeanne dÂArc Basin,Newfoundland and Labrador,455686.461
2022,Highvale Coal Mine,Seba Beach,Alberta,5989.21801
2022,"Hinton Pulp, a division of West Fraser Mills Ltd.",Hinton,Alberta,228970.089
2022,Holyrood Thermal Generating Station,Holyrood,Newfoundland and Labrador,655396.65
2022,Howe Sound Pulp and Paper Mill,Port Mellon,British Columbia,112945.9851
2022,Lloydminster Upgrader,Lloydminster,Saskatchewan,1108752.212
2022,Entreprise Indorama PTA MontrÃ©al s.e.c.,MontrÃ©al,Quebec,105568.2136
2022,INVISTA (Canada) Company-Maitland Site,Maitland,Ontario,88356.187
2022,EVRAZ Inc NA Canada - Regina Facilities,RM of Sherwood,Saskatchewan,243260.3042
2022,Iroquois Falls Generating Station,Iroquois Falls,Ontario,1635.196366
2022,Joffre LAO Plant,Joffre,Alberta,113692.2957
2022,Usine de Joliette,Joliette,Quebec,10029.0462
2022,Judy Creek Gas Conservation Plant,Swan Hills,Alberta,54717.36521
2022,Kamloops Mill (SFO),Kamloops,British Columbia,99458.53028
2022,Karr 10-10-065-02 W6M,,Alberta,77929.484
2022,Kaybob Amalgamated Sour Gas Plant,FOX CREEK,Alberta,173432.5459
2022,Kaybob South #3 Gas Plant,Fox Creek,Alberta,314323.5905
2022,Keele Valley Landfill,Maple,Ontario,524818.8868
2022,Keephills Thermal Electric Power Generating Plant,Duffield,Alberta,2677399.781
2022,"TransCanada Pipeline, Ontario",Kenora,Ontario,1051146.347
2022,Kidd Metallurgical Site,Timmins/District of Cochrane,Ontario,30819.20085
2022,Kirkland Lake Generating Station,Kirkland Lake,Ontario,44554.8695
2022,"KRONOS Canada, Inc.",Varennes,Quebec,187648.5809
2022,Kruger Wayagamack,Trois-RiviÃ¨res,Quebec,61783.5518
2022,Richmond Cement Plant,RICHMOND,British Columbia,470690.2524
2022,Bath Cement Plant,Bath,Ontario,646688.7272
2022,Edmonton Plant,Edmonton,Alberta,531703.5547
2022,Lennox Generating Station,Greater Napanee,Ontario,102497.96
2022,Lingan Generating Station,LINGAN,Nova Scotia,2111496.559
2022,MacKay River Power Plant,FORT MCMURRAY,Alberta,836953.4
2022,"MacKay River, In-Situ Oil Sands Plant",FORT MCMURRAY,Alberta,419922.6776
2022,Canadian Kraft Paper Industries Ltd.,The Pas,Manitoba,84259.67508
2022,Usine de Marbleton,Marbleton,Quebec,192075.4421
2022,McMahon Cogen Plant,TAYLOR,British Columbia,532902.6222
2022,McMahon Gas Plant,Taylor,British Columbia,124415.704
2022,Meridian Cogeneration Plant,Lloydminster,Saskatchewan,897542.906
2022,Mildred Lake and Aurora Plant Sites,Fort McMurray,Alberta,13317848.8
2022,Mine de Mont-Wright,Fermont,Quebec,293096.3368
2022,Mississauga Lubricants Centre,Mississauga,Ontario,474910.8786
2022,Mississauga Cement Plant,Mississauga,Ontario,996994.5303
2022,Mohawk Street Landfill,Brantford,Ontario,143620.9834
2022,Mosaic Potash Belle Plaine,Belle Plaine,Saskatchewan,717410.1341
2022,Muskeg River Cogeneration Plant,Fort McMurray,Alberta,1414062.471
2022,Imperial Oil Nanticoke Refinery,Nanticoke,Ontario,1152928.097
2022,Nipigon Power Plant,Nipigon,Ontario,1956.85559
2022,Norman Wells Central Processing Facility,Norman Wells,Northwest Territories,70018.53077
2022,Braya Renewable Fuels (Newfoundland) LP,Come by Chance,Newfoundland and Labrador,47987.0505
2022,Northwood Pulp Mill,Prince George,British Columbia,228749.2352
2022,Corunna Site,Corunna,Ontario,751058.4273
2022,INEOS Styrolution,Sarnia,Ontario,100500.8074
2022,St. Clair River Site,Corunna,Ontario,63530.80479
2022,NOVA Chemicals Corporation (Joffre),Lacombe,Alberta,3317236.86
2022,Oshawa Assembly Plant,Oshawa,Ontario,92005.033
2022,Ottawa Health Sciences Centre (OHSC) Cogeneration Facility,Ottawa,Ontario,29976.6636
2022,Usine de Thurso,Thurso,Quebec,50588.83343
2022,CNUL Peace River Complex,Peace River,Alberta,183194.6244
2022,Mercer Peace River,MD of Northern Lights,Alberta,202684.415
2022,CEPSA Chimie BÃ©cancour,BÃ©cancour,Quebec,72866.71
2022,Picton  Plant,Picton,Ontario,673594.5132
2022,Pine River Sour Gas Plant C-085-D,Peace River District,British Columbia,430824.08
2022,Transmission Mainline - BC,Prince George,British Columbia,1105317.283
2022,Point Aconi Generating Station,Point Aconi,Nova Scotia,979342.3914
2022,Point Tupper Generating Station,Port Hawkesbury,Nova Scotia,612920.8928
2022,Poplar River Power Station,CORONACH,Saskatchewan,3697005.382
2022,Port Alberni Division,Port Alberni,British Columbia,6750.6964
2022,Prentiss Chemical Manufacturing Facility,Lacombe County,Alberta,149678.4462
2022,Prince George Refinery,Prince George,British Columbia,135779.1669
2022,Progress Gas Plant 01-01-078-10 W6M,Grande Prairie,Alberta,30917.354
2022,Queen Elizabeth Power Station,Saskatoon,Saskatchewan,1235995.386
2022,Quirk Creek Gas Plant,MILLARVILLE,Alberta,81779.6172
2022,Raffinerie de Montreal,Montreal,Quebec,1134369.793
2022,Ãnergie Valero Inc. - Raffinerie Jean-Gaulin,LÃ©vis,Quebec,1274946.607
2022,Mine Raglan,Rouyn-Noranda,Quebec,129263.6464
2022,Rainbow Lake Cogeneration Power Plant (Units 4-5),Rainbow Lake,Alberta,333305.1169
2022,Ram River Sour Gas Plant,ROCKY MOUNTAIN HOUSE,Alberta,279079.2738
2022,"TransCanada Pipeline, Manitoba",Winnipeg,Manitoba,329931.0912
2022,Redwater Cogeneration Plant,REDWATER,Alberta,196928.4967
2022,Irving Oil Refinery,Saint John,New Brunswick,2964364.774
2022,"Foothills Pipeline, Saskatchewan",RICHMOND,Saskatchewan,179929.1566
2022,Rimbey Gas Plant,RIMBEY,Alberta,345941.8605
2022,Sarnia Chemical Plant,Sarnia,Ontario,284599.7565
2022,Sarnia Cogen Plant,Sarnia,Ontario,381035.7545
2022,Sarnia Fractionation Plant,Sarnia,Ontario,188375.4171
2022,Sarnia Manufacturing Centre,Corunna,Ontario,722556.2061
2022,Sarnia Refinery,Sarnia,Ontario,739949.9836
2022,Sarnia Refinery Plant,Sarnia,Ontario,1523138.362
2022,Sarnia Regional Cogeneration Facility,Sarnia,Ontario,1110433.869
2022,Alliance Pipeline Ltd. - SK Pipeline System,CALGARY,Saskatchewan,427449.0628
2022,SaskEnergy Incorporated,Regina,Saskatchewan,75350.96169
2022,Yara Belle Plaine Inc.,Belle Plaine,Saskatchewan,527545.7034
2022,Scotford Chemical Plant,"Fort Saskatchewan,Strathcona County",Alberta,259859.2828
2022,Scotford Complex,Fort Saskatchewan,Alberta,492518.38
2022,Scotford Upgrader and Upgrader Cogeneration,Fort Saskatchewan,Alberta,2432033.715
2022,Fibrek SENC,St-Felicien,Quebec,86291.529
2022,Shand Power Station,ESTEVAN,Saskatchewan,1771453.744
2022,Sheerness Generating Station,Hanna,Alberta,1637880.073
2022,Caroline Complex,CAROLINE,Alberta,303737.1953
2022,Jumping Pound Complex,CALGARY,Alberta,199544.6586
2022,Shell Scotford Refinery,Fort Saskatchewan,Alberta,1027473.296
2022,"Koch Fertilizer Canada, ULC",Brandon,Manitoba,715792.746
2022,Site de TÃ©miscaming,TÃ©miscaming,Quebec,174811.87
2022,Bowmanville Cement Plant,Bowmanville,Ontario,1161425.503
2022,St. Marys Cement Plant,St. Marys,Ontario,540220.5413
2022,Hamilton,Hamilton,Ontario,279095.5748
2022,Lake Erie,Haldimand County,Ontario,3768211.497
2022,Strachan Gas Plant,ROCKY MOUNTAIN HOUSE,Alberta,159130.7334
2022,"Imperial Oil, Strathcona Refinery",Edmonton,Alberta,1720052.029
2022,Summit Road Landfill,Winnipeg,Manitoba,73925.32
2022,Sundance Thermal Electric Power Generating Plant,Duffield,Alberta,881016.2789
2022,CF Industries Courtright Nitrogen Complex,Courtright,Ontario,551106.4375
2022,AV Terrace Bay,Terrace Bay,Ontario,167474.571
2022,"Teck Metals Ltd, Trail Operations",Trail,British Columbia,335348.4595
2022,TransGas Limited,REGINA,Saskatchewan,212233.4692
2022,Trenton Generating Station,Trenton,Nova Scotia,943178.3737
2022,Tufts Cove Generating Station,Dartmouth,Nova Scotia,1065425.508
2022,Tunis Power Plant,Tunis,Ontario,3799.89285
2022,Usine Alma,Alma,Quebec,899020.5784
2022,Usine Arvida,Saguenay,Quebec,612589.9475
2022,Usine de BÃ©cancour,BÃ©cancour,Quebec,15523.9984
2022,Usine de Bouletage de Port-Cartier,Port-Cartier,Quebec,909886.3707
2022,Aluminerie de Deschambault,DESCHAMBAULT,Quebec,519715.7385
2022,Usine de La Tuque,La Tuque,Quebec,217804.8155
2022,Usine de QuÃ©bec,QuÃ©bec,Quebec,23938.782
2022,Usine Grande-Baie,LA BAIE,Quebec,520786.1089
2022,Usine LaterriÃ¨re,Laterriere,Quebec,528570.2038
2022,W12A Landfill,London,Ontario,95123.722
2022,Wapiti Deep Cut Plant 04-08-069-08 W6M,,Alberta,119492.4252
2022,Waterton Complex,PINCHER CREEK,Alberta,288602.4144
2022,West Windsor Power,Windsor,Ontario,23586.55
2022,Western Canada Operations,Fort Saskatchewan,Alberta,1102860.442
2022,Dryden Mill,Dryden,Ontario,103413.8556
2022,Wildboy Sour Gas Plant D-075-A,Fort Nelson,British Columbia,61150.72751
2022,Wildcat Hills Gas Plant,Cochrane,Alberta,138348.2341
2022,Windsor Essex Cogeneration Plant,Windsor,Ontario,9255.999229
2022,PAW In-Situ Oilsands Facilities,BONNYVILLE,Alberta,3581450.017
2022,Strathcona Works,Sherwood Park,Alberta,93918.56456
2022,BEINFAIT MINE - CHAR PLANT,ESTEVAN,Saskatchewan,84364.24076
2022,Bolney Thermal,LLOYDMINSTER,Saskatchewan,446347.5047
2022,Usine de Joliette,Joliette,Quebec,21561.594
2022,Glanbrook Landfill Site,Hamilton,Ontario,16169.12775
2022,Irving Paper,Saint John,New Brunswick,105806.0489
2022,Walker Environmental Group Inc. Landfill Sites,Niagara Falls,Ontario,189415.996
2022,North Tangleflags Facility,,Saskatchewan,48654.25508
2022,Poplar Hill Generating Station,Grande Prairie,Alberta,97643.058
2022,Prince George Pulp and Paper and Intercontinental Pulp Mills,Prince George,British Columbia,213077.0562
2022,Ridge Landfill,Blenheim,Ontario,426228.712
2022,Sainte Sophie Landfill,Sainte Sophie,Quebec,163487.3796
2022,FortisBC Energy Inc.,Surrey,British Columbia,228800.2105
2022,Trail Road Waste Facility,Ottawa,Ontario,47236.77438
2022,Valleyview Generating Station,Valleyview,Alberta,41442.6952
2022,Wabush Mines - Scully,Wabush,Newfoundland and Labrador,110929.977
2022,Walkerville,Windsor,Ontario,62272.63469
2022,Weyburn 05-16-006-13W2 BTY,Weyburn,Saskatchewan,47454.15326
2022,Sea Rose FPSO,ST JOHN'S,Newfoundland and Labrador,316871.6994
2022,Nackawic Mill,Nackawic,New Brunswick,117021.8136
2022,Balzac Power Station,Rocky View County,Alberta,211965.1997
2022,BÃ©cancour Power Plant,BÃ©cancour,Quebec,62412.1131
2022,Eastview Landfill,Guelph,Ontario,85359.7814
2022,Coal Valley Mine,Edson,Alberta,82379.62632
2022,Corunna Hydrogen Facility,Corunna,Ontario,520497.4349
2022,Edmonton Hydrogen Facility,EDMONTON,Alberta,1235202.124
2022,Essex County Landfill No. 3,Lakeshore,Ontario,110236.868
2022,Essex-Windsor Regional Landfill,Essex,Ontario,323516.3591
2022,Toronto Pearson International Airport,Mississauga,Ontario,65468.7762
2022,Marten Hills Gas Plant,,Alberta,25083.874
2022,ArcelorMittal Contrecoeur Ouest,Contrecoeur,Quebec,90416.3161
2022,OC Celfortec LPValleyfield,Valleyfield,Quebec,142190.488
2022,Olds Gas Plant,Olds,Alberta,87888.97214
2022,Plant #31 Brampton,Brampton,Ontario,70613.818
2022,Prentiss Manufacturing Facility,Lacombe County,Alberta,27742.98754
2022,Britannia Sanitary Landfill Site,Mississauga,Ontario,191086.5284
2022,Transfer Station No. 2,Kingsville,Ontario,13488.86
2022,Bear Creek Power Plant,GRANDE PRAIRIE,Alberta,238359.7811
2022,Diavik Diamond Mines (2012) Inc.,YELLOWKNIFE,Northwest Territories,194561.163
2022,Teck Highland Valley Copper Partnership,Logan Lake,British Columbia,167625.7446
2022,"Irving Pulp & Paper, Limited",Saint John,New Brunswick,98700.14388
2022,Line Creek Operations,Sparwood,British Columbia,268099.777
2022,Lloydminster Ethanol Plant,Lloydminster,Saskatchewan,31776.95198
2022,Long Lake,Anzac,Alberta,1860447.069
2022,Tucker Thermal,Bonneville,Alberta,865516.8843
2022,Sudbury Integrated Nickel Operations Smelter,Falconbridge,Ontario,117937.7966
2022,Dillon / Brule Mine,Chetwynd,British Columbia,143848.9374
2022,Wolverine Mine,Tumbler Ridge,British Columbia,121203.4209
2022,Usine de triage Lachenaie,Terrebonne,Quebec,49180.12
2022,Cardinal River Operations,HINTON,Alberta,4452.7513
2022,Duffin Creek WPCP,Pickering,Ontario,19865.5119
2022,Pod One,Fort McMurray,Alberta,219643.3101
2022,Greenfield Energy Centre LP,Courtright,Ontario,552570.0533
2022,Horizon Oil Sands Processing Plant and Mine,FORT MCMURRAY,Alberta,5550371.754
2022,Minnedosa Ethanol Plant,Minnedosa,Manitoba,78210.95826
2022,Orion Facilities,no physical address,Alberta,565204.1942
2022,Portlands Energy Centre,Toronto,Ontario,613274.8875
2022,Surmont SAGD Commercial Battery,ANZAC,Alberta,3053641.91
2022,Tiverton,Tiverton,Ontario,31057.4121
2022,ADM AGRI-INDUSTRIES - ADM Windsor,Windsor,Ontario,83933.7791
2022,Suffield Gas Storage Facility,MEDICINE HAT,Alberta,50756.14172
2022,Vanscoy Potash Operations,Vanscoy,Saskatchewan,54751.7597
2022,AltaSteel Inc.,Edmonton,Alberta,88095.11881
2022,Baymag Exshaw Operations,EXSHAW,Alberta,180616.5308
2022,BUNGE CANADA - HAMILTON,HAMILTON,Ontario,49866.67431
2022,Canfor Taylor Pulp,TAYLOR,British Columbia,9882.62232
2022,CGC Hagersville Plant,HAGERSVILLE,Ontario,78805.2862
2022,Galloway Plant 14-14-053-20 W5M,,Alberta,60051.49
2022,Gold Creek 13-26-067-05 W6M,Grande Prairie,Alberta,90513.002
2022,Stoddart 02-34 Sour Gas Plant,,British Columbia,87155.39
2022,Wild River 04-03-57-23W5M,Edson,Alberta,24792.664
2022,North Bay Power Plant,North Bay,Ontario,45156.12464
2022,Hartland Landfill,Victoria,British Columbia,70130.2773
2022,"Cascades Containerboard Packaging, A Division of Cascades Canada ULC.",TRENTON,Ontario,59637.38568
2022,Brintnell Oil Battery and Comp Stn 1107 11-07,,Alberta,76653.5168
2022,Suffield C Comp Stn 01-04,,Alberta,14352.50868
2022,Suffield K (Koomati) Gas Battery 04-04,Medicine Hat,Alberta,15245.6687
2022,Suffield Oil Battery 01-27,Medicine Hat,Alberta,44360.14714
2022,Vancouver Wallboard Plant,Delta,British Columbia,26979.03
2022,Langley Plant,LANGLEY,British Columbia,62346.56636
2022,Lethbridge Waste and Recycling Centre Disposal Site,Lethbridge,Alberta,97882.03
2022,Landfill,Saskatoon,Saskatchewan,108972.1952
2022,Vancouver Landfill,Delta,British Columbia,230550.8382
2022,Kilcona Landfill,Winnipeg,Manitoba,41198.64
2022,Berland Gas Plant (14-15-059-24W5) - TOU,Greenview,Alberta,41153.2479
2022,Noel Sweet Gas Plant,,British Columbia,42226.07576
2022,Narraway Sweet Gas Plant 10-08,,Alberta,32814.052
2022,Domtar Usine de Windsor,Windsor,Quebec,125429.3155
2022,East Windsor Cogeneration Centre,Windsor,Ontario,8919.385738
2022,Gunnell Comp Stn b-023-F,,British Columbia,10531.1718
2022,Resthaven Sweet Gas Plant 08-11,,Alberta,222685.9368
2022,Sexsmith Sour Gas Plant,SEXSMITH,Alberta,92366.43587
2022,Sierra Sour Gas Plant,Sierra,British Columbia,89324.8778
2022,Steeprock Sour Gas Plant,,British Columbia,68309.83045
2022,Pearl Street Steam Plant,TORONTO,Ontario,139518.0616
2022,Walton Street Steam Plant,TORONTO,Ontario,85966.68967
2022,Gold Bar Wastewater Treatment Plant,Edmonton,Alberta,45687.93
2022,Foster Creek SAGD Bitumen Battery (with Cogen),Bonnyville,Alberta,3674613.566
2022,Flakeboard Company Limited,Sault Ste Marie,Ontario,37326.9222
2022,Ford Oakville Assembly Complex,Oakville,Ontario,68644.58442
2022,Musselwhite Mine,"N/A Concession, Kenora District",Ontario,42149.16734
2022,Goreway Power Station,Brampton,Ontario,933735.8722
2022,Metro Vancouver Waste-to-Energy Facility,Burnaby,British Columbia,115736.2231
2022,Green Lane Landfill,St. Thomas,Ontario,86904.943
2022,Johnstown,Johnstown,Ontario,85729.048
2022,Lloydminster Refinery,Lloydminster,Alberta,89380.50178
2022,Rainbow Lake Gas plant,RAINBOW LAKE,Alberta,40325.58046
2022,IGPC Ethanol Inc.,Aylmer,Ontario,125467.3395
2022,Kingston Site,Kingston,Ontario,88730.723
2022,Irving Consumer Products Limited,TORONTO,Ontario,114040.4818
2022,Jungbunzlauer Canada Inc.,Port Colborne,Ontario,168290.9191
2022,Nordegg River Gas Plant,Nordegg,Alberta,29398.48179
2022,Kruger Products Inc,NEW WESTMINSTER,British Columbia,17375.0396
2022,"Produits Kruger inc., usine de Gatineau",Gatineau,Quebec,51632.9763
2022,"Lake Utopia Paper A Division of J.D. Irving, Limited",UTOPIA,New Brunswick,25286.6939
2022,Lantic Inc. - Raffinerie MontrÃ©al,MontrÃ©al,Quebec,80079.498
2022,Lantic Inc. Taber Beet Sugar Factory,TABER,Alberta,141728.9692
2022,"Lidya Ãnergie, s.e.c.",Lachute,Quebec,711.22978
2022,"Magellan Aerospace, Haley",HALEY,Ontario,34184.39014
2022,Meadow Lake Mechanical Pulp,MEADOW LAKE,Saskatchewan,68655.4115
2022,MEG Christina Lake Regional Project,REGIONAL MUNICIPALITY OF WOOD BUFFALO,Alberta,1148673.727
2022,Whitecourt Pulp Division,Whitecourt,Alberta,66372.16027
2022,Sylvan Lake Gas Plant,ECKVILLE,Alberta,65477.5854
2022,Moore Site,Mooretown,Ontario,50706.07328
2022,Inuvik Plant,Inuvik,Northwest Territories,18842.1481
2022,Plant #34 Montreal,Montreal,Quebec,67771.164
2022,Trend Mine (SFO),TUMBLER RIDGE,British Columbia,1014.571655
2022,Peyto Oldman 11-17-055-21W5,,Alberta,99333.1998
2022,Potash Corp - Allan Division,ALLAN,Saskatchewan,104142.2296
2022,Boundary Dam Mine,ESTEVAN,Saskatchewan,50809.36642
2022,Produits Kruger Inc.,Crabtree,Quebec,58106.896
2022,Empress NGL Extraction Plant,Medicine Hat,Alberta,102237.758
2022,Toronto Refinery,Toronto,Ontario,77434.06221
2022,RÃ©gie Intermunicipale Argenteuil Deux-Montagnes (RIADM),Lachute,Quebec,162837.2879
2022,Cambridge Landfill Site,CAMBRIDGE,Ontario,3455.63125
2022,Waterloo Landfill Site,WATERLOO,Ontario,63765.41236
2022,Lieu d'enfouissement,Cowansville,Quebec,61180.19549
2022,UniversitÃ© McGill - Campus Centre-Ville,MONTREAL,Quebec,28354.904
2022,UniversitÃ© McGill - Campus Macdonald,SAINTE-ANNE-DE-BELLEVUE,Quebec,2594.573
2022,"Ãnergir, s.e.c.",MontrÃ©al,Quebec,59218.541
2022,Senlac Thermal Oil Battery,UNITY,Saskatchewan,59687.54614
2022,Gordondale East Gas Plant,SPIRIT RIVER,Alberta,80492.58756
2022,Highway Gas Plant,PEACE RIVER DISTRICT,British Columbia,69438.30668
2022,Jedney I Gas Plant,Fort St. John,British Columbia,58605.08272
2022,Jedney II Gas Plant,Fort St. John,British Columbia,50540.86534
2022,St. Clair Energy Center,Corunna,Ontario,779107.544
2022,Simonette Gas Plant,Simonette,Alberta,98181.67048
2022,Ferrier Gas Plant,ROCKY MOUNTAIN HOUSE,Alberta,47645.9695
